SITE CODE,Location Name,Latitude/Northings,Longitude/Eastings,EPSG Code,Survey Date,Survey Time,Site observations,Survey duration (hrs),Sampler group name *,Number in sampler group,No. of volunteers testing,Water type,Rainfall in last 7 days,Rainfall (mm) (optional),Water level or flow,Rate of Flow (optional),Air Temperature (deg C),Water Temperature (deg C),pH (pH units),Electrical Conductivity (µS/cm),Turbidity (NTUs),Available Phosphate (mg/L),Dissolved Oxygen (mg/L),Dissolved Oxygen (% sat),Faecal Coliforms (CFU/100mL),E. coli (CFU/100mL),Total Phosphate (mg/L),Nitrates (mg/L as N),Did you calibrate your EC meter?,Water Testing Notes/Issues,Photos uploaded,Verifyed by Ingrid,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",8/10/19,1:40 PM,"Weather fine,humid,breezy, no visible pollution
Willywag tail,3 large resident ducks and a diver on water,currawongs,butcherbird
Water flowing but low,no odour,thin layer of algae and silt on rocks on riverbed",1,Bellingen Riverwatch,1,1,,Nil,,Low,,29,22.5,7,70,7,0,7,82,,,,,false,,,,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",11/3/20,11:44 AM,"Water level 0.6m below deck of the bridge, weather is cloudy and humid, 2 large domestic ducks(permanent residents here) camped on the bank, Welcome swallows,Willy wagtails, some other birds heard but not seen.No pollution evident,water a bit murky",1.0,Bellingen Riverwatch,,2,Freshwater,Heavy,,Flood,,24.5,18.0,7,50,10,0.0,8.0,84,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=2020-03-BellingerB3.1-upstream.JPG, https://biocollect.ala.org.au/image?id=2020-03-BellingerB3.1-downstream.JPG, https://biocollect.ala.org.au/image?id=2020-03-BellingerB3.1-across.JPG]",Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",15/4/20,1:00 PM,"Clear, sunny weather with no breeze. Observed wrens, butterflies,insects around the water. Dark green algae on rocks at bottom of shallow areas. Healthy organic smell, water looks clear and fresh.",0.5,Bellingen Riverwatch,1,1,Fresh,Light,,Medium,,29.5,17.0,7,70,7,0.04,9.0,93,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=2020-04-Bellinger3.1-across.JPG, https://biocollect.ala.org.au/image?id=2020-04-Bellinger_3.1_upstream.JPG, https://biocollect.ala.org.au/image?id=2020-04-Bellinger_3.1downstream.JPG]",YES,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",10/6/20,2:00 PM,"Raining at the time,overcast. Group of various ducks sitting on riverbank together, no pollution of other wildlife noted",.5,Bellingen Riverwatch,1,,Fresh,Moderate,,Medium,,16,13,7,75,7,0.02,8.9,84,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=2020-06-B3.1-upstream.JPG, https://biocollect.ala.org.au/image?id=2020-06-B3.1-downstream.JPG, https://biocollect.ala.org.au/image?id=2020-06-B3.1-across.JPG]",Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",15/7/20,1:00 PM,"No pollution sited,clear day, bird calls",0.3,Bellingen Riverwatch,1,,Fresh,Nil,,Low,,17,13,7,40,7,0.01,9.4,89,,,,,Yes,Phone left at home - no photos,,Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",11/8/20,12:00 PM,"No visible pollution, birds could be heard in surrounding trees",1.0,Bellingen Riverwatch,2,,Fresh,Moderate,,Medium,,18.5,13.5,7,70,7,0,10,97,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",9/9/20,1:30 PM,"No pollution, clear day,birds heard but not seen, some algae on rocks in water",.5,Bellingen Riverwatch,1,,Fresh,Light,,Medium,,25,20,7,70,10,0.01,9.1,100,,,,,Yes,,,YES,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",13/10/20,12:00 PM,,,Bellingen Riverwatch,1,,,Light,,,,23,26,7,80,20,0.09,8,99,,,,,,,,YES,Fresh,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",8/12/20,12:10 PM,"Weather: Hot & Sunny - gentle breeze
Pollution: None - river looked clear - no sign of pollution
Wildlife: Noisy cicadas, lots of fish in water by bridge, dragonflys 
Odour: Slight cow poo smell (no sign of cows)
Algae: Tiny bit of algae right at river edge and some water weed near bridge",1.5,Bellingen Riverwatch,2,,Fresh,Light,,Low,,28.5,25,7,80,15,0.03,6.2,75,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=downstream.JPG, https://biocollect.ala.org.au/image?id=upstream.JPG, https://biocollect.ala.org.au/image?id=across.JPG]",Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",8/12/20,12:10 PM,"Weather: Hot & Sunny - gentle breeze
Pollution: None - river looked clear - no sign of pollution
Wildlife: Noisy cicadas, lots of fish in water by bridge, dragonflys 
Odour: Slight cow poo smell (no sign of cows)
Algae: Tiny bit of algae right at river edge and some water weed near bridge",1.5,Bellingen Riverwatch,2,,Fresh,Light,,Low,,28.5,25,7,80,15,0.03,6.2,75,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=downstream.JPG, https://biocollect.ala.org.au/image?id=upstream.JPG, https://biocollect.ala.org.au/image?id=across.JPG]",Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",13/1/21,12:10 PM,"Warm sunny day - slight breeze. No pollution, beautiful clear water. No algae. Lots of wildlife - birds, dragonfly's, fish, birdsong, noisy cicadas ",1,Bellingen Riverwatch,2,,Fresh,Moderate,,High,,28,20,7,60,10,0.03,8.6,95,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=IMG20210113120840.jpg, https://biocollect.ala.org.au/image?id=IMG20210113120907.jpg, https://biocollect.ala.org.au/image?id=IMG20210113120946.jpg]",YES,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",10/2/21,11:40 AM,"Cloudy, still and mild day. No pollution present. 5 Ducks, dragonflys, bird song. No odour or pollution visible. ",1.2,Bellingen Riverwatch,2,,Fresh,Light,,Medium,,25,22.5,7,70,15,0.04,8.1,94,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=IMG20210210115256.jpg, https://biocollect.ala.org.au/image?id=IMG20210210115327.jpg, https://biocollect.ala.org.au/image?id=IMG20210210115246.jpg]",YES,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",9/3/21,12:30 PM,"Warm, muggy day with storm clouds. No pollution visble. Lots of ducks swimming around. Cows upstream in field but not in river. No odour or algae present.",1.5,Bellingen Riverwatch,2,,Fresh,Moderate,,High,,29,20,7,60,15,0.14,8.8,97,,,,,,,,YES,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",14/4/21,12:15 PM,"Sunny with slight breeze - beautiful fresh day. Water clear and flowing nicely. No odour, algae or pollution visible. Saw fish, ducks, dragonflys etc.",1,Bellingen Riverwatch,2,,Fresh,Moderate,,Medium,,26,16,7,50,10,0.03,9.2,93,,,,,No,,"[https://biocollect.ala.org.au/image?id=IMG20210414121210.jpg, https://biocollect.ala.org.au/image?id=IMG20210414121107.jpg, https://biocollect.ala.org.au/image?id=IMG20210414121057.jpg]",Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",8/6/21,12:23 PM,"Ducks, fish (perch?), erosion of banks from cattle. 
 Overcast, no wind. Nill odour or algae.",1.15,Bellingen Riverwatch,1,,Fresh,Nil,0,Low,,22.5,12,6.5,70,0,0,9.8,91,,,,,Yes,"Was missing 20ml vial missing for DO, fixed concentration and did test at office.","[https://biocollect.ala.org.au/image?id=IMG-8249.jpg, https://biocollect.ala.org.au/image?id=IMG-8248.jpg, https://biocollect.ala.org.au/image?id=IMG-8247.jpg, https://biocollect.ala.org.au/image?id=IMG-8250.jpg]",Yes,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,"WGS 84, Lat/Lon",10/8/21,11:45 AM,"Beautiful and sunny with light breeze. Very slight 'oily' sheen on surface of water next one bridge pylon (upstream side). No odour or algae - in general water looked clear and flowing nicely. Fish, ducks etc in water.",1,Bellingen Riverwatch,2,,Fresh,Light,,Medium,,13,23,7,80,10,0,9.6,112,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=IMG20210810115401.jpg, https://biocollect.ala.org.au/image?id=IMG20210810115415.jpg]",YES,,,,,,,,,,,,,,,,,,
B3.1,"Bellinger B3.1 - Bellinger River, Tysons Bridge upstream of Orama PS, Darkwood",-30.43287,152.67762,,13/10/21,11:50 上午,"River has risen with recent rain but flowing nicely and water looked clear. Light rain / grey on testing day. No wind / mild. 3 Water dragons, ducks and fish in water. No sign of pollution - but we did find a road sign in water which we pulled out!",1,Bellingen Riverwatch,3,,Fresh,Moderate,,Medium,,19,16,7,70,10,0.06,9.2,93,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=IMG20211013114730.jpg, https://biocollect.ala.org.au/image?id=IMG20211013114741.jpg, https://biocollect.ala.org.au/image?id=IMG20211013123709.jpg]",YES,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",12/9/17,12:03 PM,"clear water, Finches around, heard a bower bird, Freshwater mussels in the water, shady trees, ground cover still health but dry surrounding bank areas",1,Orama Public School,4,4,Fresh,Nil,,Low,,26.5,19,7.8,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",4/10/17,12:00 PM,"7.5mm rain over last 3 days, sunny clear sky 4 different bird calls in 50m radius, gentle 3.2km/h SSE breeze, light pollen and needle cover on water, damp shore, fresh growth of weeds amongst shore rocks, catfish nest 10m from shore, school of mullet (20), 2mm long tadpoles in leaf litter at waters edge, lamandra predominant shrub, new growth on opposite shore and some purple blossoms. ",1,Orama Public School,2,2,Fresh,Light,8,Low,,32,22,7.5,90,7,,,,,,,,true,Post rain event testing at request of Sustainability Centre.,Yes,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",10/10/17,12:15 PM,"Rained yesterday, 26.7mm, and 40.8mm in the last week. Gentle breeze from SE (2.2km/h). Overcast sky, some bird song, more green growth in the edge of the water. Water surface is clean.",1,Orama Public School,3,3,Fresh,Moderate,41,Low,,25,23,7.5,80,7,,,,,,,,true,,Yes,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",14/11/17,12:01 PM,"Sunny with some cloud cover, wind form South at 1.4km/h, cat fish nest no longer visible, an alga is cover that central strip of the river. This algae was not visible last test. Several fish sighted from up on the bank, hanging around old catfish nest. Lots of insect activity at shore line. More greenery on shore. Sue Lennox did faecal coliform test with students. ",1,Orama Public School,10,10,Fresh,Light,1,Low,,29,23.5,7,80,7,,,,10,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",1/12/17,12:00 PM,"Wind 4 km/hr, Lots of cicada noise, 60 mm rain between 5 pm and 11 pm yesterday, less waterbug activity, 5 m less river bank to stand on, saw a flow of white bubbles, 20 m long, appear during our visit",1,Orama Public School,12,12,Fresh,Heavy,61,Medium,,32,20,8,60,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",12/12/17,12:00 PM,"Cicadas very noisy, some 5 mm tadpoles, water very still and no breeze. Alga from last month seems to be less as catfish nests are more visible again. Erosion, on access to river from school, due to heavy rains last month.",1,Orama Public School,4,4,Fresh,Light,1,Low,,29,25,7,80,7,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",9/1/18,12:30 PM,"Easterly breeze 5km/h, less weeds on bank, erosion from heavy rain and high water mark evidence of 6-1-18 rain of 45 mm between 5am and 11 am. Cicadas very nosy, clear sunny day. Silt on 1m border of river, clear pebbles beyond that.",1,Orama Public School,1,1,Fresh,Heavy,45,Low,,34,29,8,70,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",13/2/18,12:00 PM,"Low but still flowing, rocks are getting slimy, wind 4.3km/h, 39mm rain in Feb, minimal insect activity",1,Orama Public School,6,6,Fresh,Light,2,Low,,35,31,7.5,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",8/3/18,3:05 PM,"Day after flood, school non-operational 8/3/18 due to flooding, river level still high today, water clear at bank but appears a bit murky in the centre, overcast, no animal sounds or activity",1,Orama Public School,1,3,Fresh,Heavy,143,High,,27,18,7.5,60,7,,,,,,,,true,Very heavy rain and rapid river level increase.,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",14/3/18,12:00 PM,"Clear water, fast flowing, smells like dead seafood, briny, 1.5m goanna lurking. ",1,Orama Public School,4,4,Fresh,Moderate,148,Medium,,32,23,7.5,60,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",11/4/18,12:00 PM,"Clear sky, slight breeze, erosion from previous flooding, some bird calls in area, pollen/leaves on water surface, ",1,Orama Public School,6,6,Fresh,Nil,1,Low,,25,22,7.5,80,10,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",8/5/18,12:00 PM,"Water is really clear, rapids are noisy and the area smells fresh. Some bird and insect noise.",1,Orama Public School,4,4,Fresh,Light,,Low,,23,19,7,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",30/5/18,12:00 PM,"can hear the rapids, air is cold and the water is rippling slowly at the edge, 50% cloud cover",1,Orama Public School,8,6,Fresh,Light,4,Medium,,21,16,7.5,80,7,,,,,,,,true,"Extra testing to show off to Murat Dizdar, deputy secretary of Dept of Education.",,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",12/6/18,12:00 PM,"Very wet- no sun on the river - clear water, clean banks, rapids very loud, smells like moss, feels freezing, children needed jumpers.",,Orama Public School,8,6,Fresh,Light,2,Medium,,16,15,7.5,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",10/7/18,12:00 PM,"Can hear rapids and several diff bird calls, duck scat on shore, fresh mussel in shallow water, 80-90% cloud cover, air feels cool and damp, and smells fresh.",1,Orama Public School,4,4,Fresh,Moderate,45,Low,,14,12,7,70,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",15/8/18,12:00 PM,"River very low, smells mouldy, leaf litter on river surface, wind 1.4km/hr, very quiet",1,Orama Public School,3,3,Fresh,Nil,,Low,,20,12,7,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",12/9/18,12:00 PM,"River is low, very clear, leaf litter dense on river edge, many bird calls, lots of tiny fish",,Orama Public School,3,3,Fresh,Heavy,53,Low,,30,20,7,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",16/10/18,12:03 PM,"Flooding, water grey/green/brown, fast flowing, water edge now up to log we usually sit on ... 4 metres from usual testing edge.",1,Orama Public School,3,3,Fresh,Heavy,272,High,,21,15,7,50,15,,,,,,,,false,Extra test done due to flooding type rain event,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",14/11/18,12:00 PM,"New catfish nest, crystal clear water, smells clean and fresh",1,Orama Public School,6,6,Fresh,Light,6,Low,,32,24,7,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",12/12/18,12:00 PM,"River low, looks clear, smells flowery sweet, thundering, low cloud",1,Orama Public School,3,3,Fresh,Nil,,Low,,27,25,7,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",17/12/18,12:00 PM,"Water is brown and ugly, level is up about 1/2 a metre, smells like dirt, mozzies are swarming",1,Orama Public School,4,4,Fresh,Heavy,124,Low,,30,23,8,60,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",9/1/19,11:30 AM,"low wter, dry air, no insect noise, some bird calls, air is very still",1,Orama Public School,1,1,Fresh,Nil,,Low,,28,25,7.5,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",9/1/19,11:30 AM,"low water, dry air, no insect noise, some bird calls, air is very still",1,Orama Public School,1,1,Fresh,Nil,,Low,,28,25,7.5,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",12/2/19,12:00 PM,"water low , rapids quiet -just bubbling, lots of leaf litter and seed floating along edge bees buzzing. no bird calls. lots of insects .water clear .smells fresh.",,Orama Public School,3,3,Fresh,Heavy,34,Low,,40,32,7,80,7,,,,,,,,true,,High water temp,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",13/3/19,12:10 PM,really clear and still low much leaf litter smells like fish saw red dragonfly hear rapids small birds mini dust storm(didn't show in photo) butterflies.,1,Orama Public School,4,4,Fresh,Light,,Medium,,32,27,7.5,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",10/4/19,12:00 PM,"Very still and clear and quite low. Bank very weedy. Algae, both flat brown and grassy green",1,Orama Public School,4,4,Fresh,Moderate,21,Low,,25.5,23,7.5,80,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",14/5/19,4:00 PM,,,Bellingen Riverwatch,,,,,,,,,,,,,,,,0,,,,false,"Testathon result - tested by Sue Lennox, uploaded by Amy Denshire ",,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",14/5/19,4:00 PM,,,Bellingen Riverwatch,,,,,,,,,,,,,,,,0,,,,false,"Testathon result - tested by Sue Lennox, uploaded by Amy Denshire ",,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",20/5/19,3:33 PM,"Water level is low, but can still hear the rapids, the air smells clean, lots of weeds on the bank, no wildlife calls.",1,Orama Public School,4,4,Fresh,Light,4,Low,,24,20,7.5,70,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",13/6/19,12:00 PM,very clear in centre of river. Lots of foliage and moss and leaves on river banks. Water level is low. Rapids are low but very loud. It smells damp. Area is dark and wet but last rainfall was a week abo. Overcast. No animal sounds.,1,Orama Public School,3,3,Fresh,Light,,Low,,19,15,7,70,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",10/7/19,12:00 PM,"level has dropped and 1.5m of muddy shore is visible, clear sky, river shaded by mountain, cool air, smells fresh,  minimal insect activity on water sedge, 2 different birds calls, fresh diggings in soft dirt of river bank, cow prints, wallaby tracks, some erosion on access track.",1,Orama Public School,1,1,Fresh,Moderate,42,Medium,,13,13,7,60,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",13/8/19,12:00 PM,"Extremely dry with little vegetation on the river banks, very low water level, no slime or moss on rocks near bank, 60cm of leaf/stick litter on edge  of water, rapids quite gentle",1,Orama Public School,3,3,Fresh,Nil,,Low,,22,15,7,70,7,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",9/9/19,10:30 AM,"sunny and windy, surface leaf litter/scum, pollen on water, major fire 50km away, some burnt leaves on shore, dragonflies, fresh mossy odour, flowers, algal scum on the rocks in the river, fly catcher bird",3,Orama Public School,15,15,Fresh,Nil,,Low,,19,17,7.5,70,7,0,9.2,95,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",11/9/19,12:15 PM,"Slow flow, dry weather conditions. Visible Pollution: leaf litter 20-80cm into river, old sock, brocken deck chair. Wildlife: water spider, birds, spider nest, small lizards. Odour: heavy smoke. Algae: on racks in water, on broken branches in water",2,Orama Public School,10,10,Fresh,Nil,,Low,,21,17,7.5,80,7,0,8.4,87,,,,,true,Distilled water (can I get it at a supermarket or similar?),,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",20/9/19,12:15 PM,"Sunny and rainy, much leaf litter & clumps of grass, birds and insects present, odour of smoke in the air",1,Repton Public School,6,4,Fresh,Heavy,53,Low,,22,20,7,80,7,0,8.5,94,,,,,true,Heavy rainfall over 3 days so did extra testing,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",8/10/19,11:50 AM,"Good flow; weather overcast with sunny periods; no visible pollution; birds, dragonflies and a carpet python present; no odour; some surface algae along opposite river bank.",1,Bellingen Riverwatch,2,2,Fresh,Light,,Low,,21,20,7,60,7,0.02,7.2,79,,,,,true,,,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",13/12/19,2:00 PM,"slow flow: rapids narrow and mild flow. Weather overcast and moist, leaf litter (some burnt), algal slime, abundant underwater river weed (30 - 50 cm tall). Wildlife: ducks, cicadas, abundant bug life on and around water, multiple bird calls. Odour is fresh   (tadpole poo smell??) algae thick on rocks in river bed, cat fish ring/nest.",1,Orama Public School,5,5,Fresh,Moderate,18,Low,,24,27,7,90,7,0,6.5,82,,,,,true,"Rainfall all within the last 72 hours, most recent within 24 hrs. Previously in drought conditions.",Yes,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",15/1/20,11:00 AM,"slow flow, overcast, drizzle, pollution: deck chair, water spiders, dragon flies, cicadas, various cird calls, bees, fish (not catfish), layers of silt over all rocks",,Orarma Public School,,,,light,,low,,26.5,27.5,7,110,10,0.05,5.4,69,,,,,yes,last rainfall was within 24 hours,Yes &  standard January volunteer sampling results,,,,,,,,,,,,,,,,,,,
B3.2,"Bellinger B3.2 - Bellinger River at Orama Public School, Darkwood",-30.431716,152.691905,"WGS 84, Lat/Lon",21/1/20,12:00 PM,"fast flow, sunny/hot, pollution: deck chair, flock of birds, water spiders (few) ants, odour: fresh with a hint of muddy water, algae not visible due to thick silt (on shore) and muddy water",,Orama Public School,,,,heavy,,flood,,34,28,7.5,90,40,0.03,7,89,,,,,yes,"Extra ""post event"" testing",Yes &  extra sampling #1 data set just after rain event,,,,,,,,,,,,,,,,,,,
